stdio    D         file_stdio.c:110  file_stdio_fopen                 [   0.00000] opening C:\Users\Usuario\Documents\ITBA\EDA\EDA-Robot-Cleaner\Project\x64\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   2.81256] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81264] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81270] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   2.81276] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   2.81284] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81292] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81298] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81304] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81310] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81318] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81329] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81338] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81359] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81364] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81371] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81379] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81387] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81396] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81411] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81420] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81433] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81441] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81448] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81455] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81463] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81472] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81477] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81489] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81495] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81505] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81518] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81528] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81535] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81542] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   2.81549] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   2.81562] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1678 d3d_create_display_internals     [   2.81570] Trying format 0.
d3d      I         d3d_disp.cpp:1354 d3d_display_thread_proc          [   2.82039] Chose a display format: 23
d3d      I         d3d_disp.cpp:1423 d3d_display_thread_proc          [   2.82050] Normal window.
d3d      I         d3d_disp.cpp:791  d3d_create_device                [   2.85652] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:849  d3d_create_device                [   2.88441] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:857  d3d_create_device                [   2.88451] Success
d3d      D         d3d_disp.cpp:1701 d3d_create_display_internals     [   2.88459] Resumed after wait.
d3d      I         d3d_disp.cpp:1734 d3d_create_display_internals     [   2.88469] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1765 d3d_create_display_internals     [   2.88521] Returning d3d_display: 000002AE963ECDC0
d3d      D         d3d_disp.cpp:1790 d3d_create_display_locked        [   2.88530] al_display=000002AE963ECDC0
d3d      D         d3d_disp.cpp:1791 d3d_create_display_locked        [   2.88541] al_display->vt=000002AE96393030
system   D            wsystem.c:799  maybe_parent_dir                 [   2.88622] Also searching C:\Users\Usuario\Documents\ITBA\EDA\EDA-Robot-Cleaner\Project\x64\
system   D            wsystem.c:854  _al_win_safe_load_library        [   2.88657] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
system   D            wsystem.c:760  load_library_at_path             [   2.88665] Calling LoadLibrary C:\Windows\system32\d3dx9_43.dll
system   I            wsystem.c:763  load_library_at_path             [   2.89304] Loaded C:\Windows\system32\d3dx9_43.dll
d3dx9    I        d3d_d3dx9.cpp:88   _imp_load_d3dx9_module_version   [   2.89319] Module "d3dx9_43.dll" loaded.
dtor     D               dtor.c:196  _al_register_destructor          [   2.89552] added dtor for queue 000002AE963B53B0, func 00007FFC06161528
dtor     D               dtor.c:196  _al_register_destructor          [   2.89563] added dtor for timer 000002AE963E5D30, func 00007FFC06162167
d3d      I         d3d_disp.cpp:911  d3d_destroy_display              [   4.36660] destroying display 000002AE963ECDC0 (current 0000000000000000)
d3d      D         d3d_disp.cpp:895  d3d_destroy_display_internals    [   4.37086] waiting for display 000002AE963ECDC0's thread to end
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   4.38254] d3d_destroy_device: ref count not 0
d3d      W         d3d_disp.cpp:608  d3d_destroy_device               [   4.38284] d3d_destroy_device: ref count not 0
d3d      I         d3d_disp.cpp:1558 d3d_display_thread_proc          [   4.40413] d3d display thread exits
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.40560] removed dtor for timer 000002AE963E5D30
dtor     D               dtor.c:227  _al_unregister_destructor        [   4.40571] removed dtor for queue 000002AE963B53B0
